"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0002181" "GO:0002181" "cytoplasmic translation" "101/2329" "156/14382" 1.32700486066276e-42 7.55331166689245e-39 6.28581249787625e-39 "RPS20/YBX3/RPL18/YBX1/PABPC1/EIF2B3/RPL31/RPS5/RPL6/RPLP0/EIF3L/RPL3/EIF3D/EIF3E/RPS16/RPS19/RPL18A/RPL28/RPL19/RPL34/RPS13/RBM24/RPS12/CPEB4/RPL24/EIF2B4/RPS15/RPL22/RPS25/RPL21/RPL5/RPS10/RPL23/EIF2S2/RPL36/EIF3G/RPL27/RPS15A/SYNCRIP/NCBP1/RPL35/RPS6/RPLP1/RPS24/RPS2/RPS11/RPL13A/RPS8/EIF2D/RPS27A/RPL32/RPS3A/RPL37/RPL10/RPL7/EIF3H/RPL7A/RPS3/FAU/RPL30/EIF4A2/RPL8/ZNF385A/RPL26/RPL29/RPL9/RPS14/METTL3/RPL27A/RPL13/RPSA/CNBP/RPS9/RPS21/RPS7/PAIP1/RPL38/RPL4/RPL15/EIF3F/RPLP2/RPS27/RPS17/RPL35A/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/RPL39/RACK1/RPS29/CPEB1/UBA52/RPL41/RPS18/RPL36A/RPL17" 101
"GO:0003012" "GO:0003012" "muscle system process" "151/2329" "405/14382" 1.70129225853356e-25 4.8418777677865e-22 4.02937640179e-22 "CD38/TBXA2R/ATP1A2/TNFRSF1B/MYOC/MYOM2/NEDD4L/CYBA/CAMK2B/MYLK/CACNB1/LMCD1/KCNN2/ARG2/CACNA1S/CTTN/NOS1/SLC9A1/MYH7/MYL6/MYLK2/MYL9/TNNC2/DMPK/TNNT1/COMP/ACTA2/P2RX1/RPS6KB1/SGCA/CACNG1/MYH1/CRYAB/P2RX3/MYL2/SRF/PDE4D/TNNC1/PRKAG3/CASQ2/NR4A3/TBX2/KCNJ8/CALD1/MYH2/DOCK4/FGF13/GAMT/CNN1/TNNT3/TNNI2/NFATC1/CKMT2/MYH11/ROCK2/SPX/DTNA/TBX3/CHRND/SCN7A/BIN1/TMOD1/SULF1/MYOF/MSTN/PPP3CA/TPM1/MYOCD/GATA6/SMAD4/ATP1B1/CASQ1/TPM3/ACTA1/MEIS1/ANK2/MLIP/GSN/NOTCH1/CAMK2G/HTR7/GSTO1/SCN2B/ALDOA/FOXO1/CACNA1C/EDNRA/KCNE4/HOMER1/GPD1L/SORBS2/TTN/TIAM1/TNNI1/MYL3/SELENON/KCNJ3/TMOD4/ATP1A1/ZC3H12A/PI16/PGAM2/NOS3/SMAD3/TPM4/JSRP1/MYL1/P2RY1/SLN/LMOD2/KCND3/GATM/SNTB1/MYOZ2/DAG1/VEGFB/JUP/ATP2A2/SPHK1/SCN4B/MYOZ1/MYL11/SYNM/CAV3/CTNNA3/SETD3/KCNJ12/STAC3/TRDN/PPARA/RYR1/ATP2A1/MYL6B/CACNA1H/SULF2/HDAC2/FLNA/MYH6/ASPH/TPM2/RYR2/CALM1/RCSD1/DMD/MYL5/KLHL41/STRIT1/ACTN3/GJA5/FXYD1/ADRA2B" 151
"GO:0042692" "GO:0042692" "muscle cell differentiation" "137/2329" "378/14382" 6.82269031009446e-22 1.29449177483526e-18 1.07726689106755e-18 "IFRD1/CD9/EHD2/MYOM2/XK/YBX1/RORA/ACTN1/NFATC3/IL4R/CACNA1S/SMARCD3/ZMPSTE24/MYBPC2/TBX5/NOS1/SLC9A1/LAMB1/MYH7/CAPN3/PDGFB/MYH9/ASB2/NFATC4/NFATC2/MYL9/FGF9/PIEZO1/MYEF2/DMPK/TNNT1/TGFB1/COMP/CAV2/ENG/PPP3CB/NAGLU/CD81/SOX6/MYL2/RIPOR2/RBM24/BVES/SRF/VEGFA/TBX18/PDGFRB/ACVR1/SMYD1/ID2/PROX1/TRIM32/TBX2/KCNJ8/OBSL1/SOX9/SIX1/ACTN4/TNNT3/NFATC1/TMEM204/POPDC3/RBM38/MYH11/CAMK1/PTGFRN/NOTCH2/TBX3/ALPK3/BIN1/NIBAN2/TMOD1/CCN3/MYPN/PPP3CA/PRICKLE1/TPM1/MYLK3/RPL3L/MYOCD/GATA6/SMAD4/AKT1/MYOM3/SYPL2/CASQ1/ACTA1/MEIS1/ANK2/MEGF10/NOTCH1/EDNRA/HOMER1/UCHL1/SORBS2/ADAMTS5/TTN/CSRP1/SELENON/SGCB/TMOD4/FBXO40/PI16/HEY1/MYORG/FRS2/RBPMS2/GREM1/IGF2/HDGFL2/SEMA4C/LMOD2/BCL2/LAMB2/MYOZ2/ATP2A2/BDNF/IRX3/MYOZ1/CAV3/NEB/SETD3/ACTG1/STAC3/MRTFB/PPARA/DUSP29/RYR1/CACNA1H/MYH6/DLL1/ALPK2/DMD/NOTCH4/KLHL41/ACTN3/ZBED6" 137
"GO:0006936" "GO:0006936" "muscle contraction" "120/2329" "320/14382" 1.03799618302292e-20 1.47706856844162e-17 1.22920600621136e-17 "CD38/TBXA2R/ATP1A2/MYOM2/NEDD4L/MYLK/CACNB1/KCNN2/ARG2/CACNA1S/CTTN/NOS1/SLC9A1/MYH7/MYL6/MYLK2/MYL9/TNNC2/DMPK/TNNT1/COMP/ACTA2/P2RX1/RPS6KB1/SGCA/CACNG1/MYH1/CRYAB/P2RX3/MYL2/SRF/PDE4D/TNNC1/CASQ2/TBX2/KCNJ8/CALD1/MYH2/DOCK4/FGF13/GAMT/CNN1/TNNT3/TNNI2/CKMT2/MYH11/ROCK2/SPX/DTNA/TBX3/CHRND/SCN7A/BIN1/TMOD1/SULF1/MYOF/TPM1/MYOCD/ATP1B1/CASQ1/TPM3/ACTA1/ANK2/GSN/HTR7/GSTO1/SCN2B/ALDOA/CACNA1C/EDNRA/KCNE4/HOMER1/GPD1L/TTN/TNNI1/MYL3/KCNJ3/TMOD4/ATP1A1/ZC3H12A/PGAM2/TPM4/JSRP1/MYL1/LMOD2/KCND3/SNTB1/VEGFB/JUP/ATP2A2/SPHK1/SCN4B/MYL11/SYNM/CAV3/CTNNA3/SETD3/KCNJ12/STAC3/TRDN/RYR1/ATP2A1/MYL6B/CACNA1H/SULF2/FLNA/MYH6/ASPH/TPM2/RYR2/CALM1/RCSD1/DMD/MYL5/KLHL41/STRIT1/ACTN3/GJA5/FXYD1/ADRA2B" 120
"GO:0055001" "GO:0055001" "muscle cell development" "77/2329" "185/14382" 1.1239858531248e-16 1.27954549519727e-13 1.06482870296034e-13 "MYOM2/XK/ACTN1/CACNA1S/ZMPSTE24/MYBPC2/TBX5/MYH7/CAPN3/ASB2/NFATC4/NFATC2/MYL9/TNNT1/COMP/CAV2/ENG/PPP3CB/NAGLU/MYL2/BVES/SRF/VEGFA/TBX18/PDGFRB/PROX1/OBSL1/SIX1/ACTN4/TNNT3/MYH11/TBX3/ALPK3/BIN1/NIBAN2/TMOD1/MYPN/PPP3CA/PRICKLE1/TPM1/MYLK3/SMAD4/MYOM3/SYPL2/CASQ1/ACTA1/MEIS1/ANK2/MEGF10/NOTCH1/EDNRA/HOMER1/UCHL1/SORBS2/TTN/CSRP1/SELENON/SGCB/TMOD4/PI16/MYORG/LMOD2/BCL2/MYOZ2/ATP2A2/MYOZ1/CAV3/NEB/ACTG1/STAC3/PPARA/RYR1/MYH6/ALPK2/DMD/KLHL41/ACTN3" 77
"GO:0051146" "GO:0051146" "striated muscle cell differentiation" "99/2329" "278/14382" 1.43922392869222e-15 1.36534376701935e-12 1.13622941738859e-12 "CD9/EHD2/MYOM2/XK/YBX1/IL4R/CACNA1S/ZMPSTE24/MYBPC2/TBX5/NOS1/SLC9A1/MYH7/CAPN3/MYH9/ASB2/NFATC2/MYL9/PIEZO1/MYEF2/DMPK/TNNT1/TGFB1/CAV2/PPP3CB/NAGLU/CD81/SOX6/MYL2/RIPOR2/RBM24/BVES/SRF/VEGFA/TBX18/PDGFRB/ACVR1/SMYD1/PROX1/TRIM32/KCNJ8/OBSL1/SIX1/TNNT3/POPDC3/RBM38/MYH11/PTGFRN/TBX3/ALPK3/NIBAN2/TMOD1/CCN3/MYPN/PPP3CA/PRICKLE1/TPM1/MYLK3/RPL3L/MYOCD/GATA6/SMAD4/AKT1/MYOM3/CASQ1/ACTA1/MEIS1/NOTCH1/HOMER1/SORBS2/ADAMTS5/TTN/CSRP1/SELENON/SGCB/TMOD4/PI16/MYORG/FRS2/GREM1/IGF2/LMOD2/BCL2/MYOZ2/BDNF/IRX3/MYOZ1/CAV3/NEB/ACTG1/STAC3/PPARA/RYR1/CACNA1H/MYH6/DLL1/ALPK2/KLHL41/ACTN3" 99
"GO:0060537" "GO:0060537" "muscle tissue development" "123/2329" "382/14382" 3.60633533127698e-15 2.93246581508979e-12 2.44037729184156e-12 "IFRD1/MYOM2/XK/FOXC1/YBX3/MYLK/PITX1/TGFBR3/SEMA3C/FGFR1/CACNA1S/ZMPSTE24/FKBP1A/TBX5/SLC9A1/MYH7/MYL6/TLL2/DDX17/ASB2/MYLK2/FGF9/EYA1/TGFB1/CAV2/ENG/PPP3CB/NEURL1/RPS6KB1/DDX5/NAGLU/SOX6/MYL2/RBM24/BVES/SRF/VEGFA/TBX18/PDGFRB/WNT5A/TNNC1/ACVR1/SMYD1/ID2/PROX1/PKD2/EGR1/TBX2/KCNJ8/EGR2/OBSL1/SOX9/GPCPD1/SIX1/POPDC3/MYH11/NOTCH2/TBX3/EGLN1/CHRND/FLNB/ALPK3/NIBAN2/PIM1/MSTN/PPP3CA/PRICKLE1/TPM1/MYLK3/RPL3L/MYOCD/GATA6/SMAD4/CASQ1/ACTA1/MEIS1/MEGF10/NOTCH1/EDNRA/HOMER1/SORBS2/TTN/TNNI1/CSRP1/NPR2/MYL3/SELENON/SGCB/HEYL/PI16/HEY1/MYORG/FRS2/GREM1/SMAD3/IGF2/ZFPM2/VGLL2/S1PR1/BCL2/MYOZ2/HEG1/IRX3/MYOZ1/MYL11/FES/CAV3/NEB/SRPK3/MAFF/STAC3/MRTFB/PPARA/RYR1/MYL6B/MYH6/RYR2/DLL1/ALPK2/DMD/KLHL41/ACTN3/GJA5" 123
"GO:0001525" "GO:0001525" "angiogenesis" "145/2329" "480/14382" 4.85518519345551e-15 3.4544642651436e-12 2.87478070665129e-12 "KRIT1/HSPB6/THSD7A/CX3CL1/TBXA2R/ADGRA2/GRN/FOXC1/HDAC7/TIE1/RORA/TGFBR3/VASH1/NOTCH3/MCAM/FGFR1/MMP2/NRCAM/MYH9/NFATC4/PGK1/FGF9/FLT1/RGCC/SFRP1/PRKD2/TGFB1/RASIP1/SERPINE1/ENG/UNC5B/SRF/VEGFA/SPARC/NPR3/PDGFRB/WNT5A/ACVR1/STAT1/LEPR/PIK3R3/NRP2/CCN2/PGF/HOXB3/TGFBI/PTK2B/CALD1/ID1/AMOT/PTPRB/KLF2/E2F8/LOXL2/NOTCH2/ROCK2/COL4A2/ETS1/CEMIP2/EGLN1/VEZF1/KLF4/NIBAN2/CCN3/PRCP/SULF1/THBS1/ARHGAP24/CDH13/GATA6/AKT1/EPHA2/HSPG2/CCN1/MEIS1/ACKR3/RSPO3/MTDH/NOTCH1/EDNRA/PDE3B/DDAH1/THY1/ROBO4/ANGPT1/ADAMTS1/FGF18/TSPAN18/WASF2/HK2/NPR2/PLXDC1/ITGA5/PLCD3/FMNL3/TAL1/FZD5/PF4/ZC3H12A/HEY1/SOX17/NOS3/JCAD/AMOTL1/SPRED1/JAM3/GREM1/ANGPTL4/NPR1/CLIC4/S1PR1/APLN/COL8A2/EGFL7/MMRN2/NDNF/DAG1/VEGFB/JUP/CD34/FUT1/SPHK1/CLEC14A/GPR4/APOLD1/GATA2/EGR3/CDH5/COL18A1/CCR3/ACTG1/COL4A1/EPHB4/FLNA/NRARP/DLL1/SOX18/NOTCH4/ADGRG1/TAFA5/PPP3R1/ITGB3/GTF2I/GJA5/ADRA2B" 145
"GO:0007517" "GO:0007517" "muscle organ development" "110/2329" "329/14382" 6.03081943898004e-15 3.81415824963049e-12 3.17411549420002e-12 "MYOM2/XK/FOXC1/YBX3/MYLK/PITX1/TGFBR3/CACNA1S/FKBP1A/MYH7/CAPN3/MYL6/TLL2/DDX17/ASB2/MYLK2/JPH1/TGFB1/CAV2/ENG/PPP3CB/NEURL1/RPS6KB1/DDX5/NAGLU/SGCA/CRYAB/SOX6/MYL2/RIPOR2/RBM24/BVES/WNT5A/FXR1/TNNC1/SMYD1/ID3/PROX1/EGR1/CNTFR/EGR2/GPCPD1/TCF15/SIX1/FGFRL1/LAMA5/ASS1/POPDC3/EGLN1/CHRND/PAX3/FLNB/NIBAN2/LBX1/MSTN/PPP3CA/TPM1/RPL3L/MYOCD/UNC45B/SMAD4/CASQ1/ACTA1/MEGF10/NOTCH1/TAGLN/EDNRA/HOMER1/TTN/TNNI1/MYL3/SELENON/SGCB/HEYL/MYORG/SMAD3/IGF2/HDGFL2/ZFPM2/VGLL2/CAVIN4/S1PR1/BCL2/MYOZ2/DAG1/CHD2/HEG1/KY/BASP1/MYOZ1/EGR3/ZBTB42/MYL11/CAV3/NEB/FHL3/SRPK3/MAFF/STAC3/MRTFB/RYR1/MYL6B/CACNA1H/MYH6/RYR2/DLL1/DMD/SMTNL1/KLHL41/ACTN3" 110
"GO:0090257" "GO:0090257" "regulation of muscle system process" "74/2329" "204/14382" 1.97907885339861e-12 1.12649168335449e-09 9.37458404241449e-10 "TBXA2R/ATP1A2/TNFRSF1B/CAMK2B/CACNB1/LMCD1/CACNA1S/CTTN/NOS1/SLC9A1/MYH7/MYLK2/MYL9/TNNC2/DMPK/TNNT1/P2RX1/RPS6KB1/SGCA/CACNG1/MYL2/SRF/PDE4D/TNNC1/PRKAG3/CASQ2/NR4A3/DOCK4/FGF13/CNN1/TNNT3/ROCK2/SPX/BIN1/MSTN/PPP3CA/TPM1/MYOCD/SMAD4/ATP1B1/CASQ1/ANK2/MLIP/NOTCH1/CAMK2G/GSTO1/FOXO1/CACNA1C/TNNI1/MYL3/SELENON/ATP1A1/ZC3H12A/PI16/NOS3/SMAD3/SLN/DAG1/JUP/ATP2A2/SPHK1/CAV3/CTNNA3/SETD3/PPARA/ATP2A1/RYR2/CALM1/DMD/MYL5/STRIT1/ACTN3/GJA5/ADRA2B" 74
