"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0022626" "GO:0022626" "cytosolic ribosome" "86/2425" "122/19894" 8.13935561421175e-51 5.79522119731876e-48 4.55803914395858e-48 "RPS20/RPL18/RPL31/RPS5/RPL6/RPLP0/RPL3/GSPT1/RPS16/RPS19/RPL18A/RPL28/RPL19/RPL34/RPS13/RPS12/HBS1L/RPL24/RPS15/RPL22/RPS25/RPL21/RPL5/RPS10/RPL23/RPL36/RPL27/RPS15A/RPL35/RPS6/RPLP1/RPS24/RPL3L/RPS2/RPS11/RPL13A/RPS8/EIF2D/RPS27A/RPL32/RPS3A/RPL37/RPL10/RPL7/RPL7A/RPS3/FAU/RPL30/EEF1A1/RPL8/RPL26/RPL29/RPL9/RPS14/RPL36AL/RPL27A/RPL13/RPSA/RPS9/RSL1D1/RPS21/RPS7/RPL38/RPL4/RPL15/RPLP2/RPS27/RPS17/RPL35A/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/LTN1/RPL39/RACK1/RPS29/UBA52/RPL41/RPS18/RPL36A/RPL17" 86
"GO:0005925" "GO:0005925" "focal adhesion" "163/2425" "421/19894" 7.70727830000691e-45 2.74379107480246e-42 2.15803792400193e-42 "LASP1/CD9/CD44/TNC/SYNE2/NCKAP1/RPL18/CNN2/NHERF2/TLE2/PABPC1/RPL31/ACTN1/LIMS2/PVR/FERMT2/CLASP1/MCAM/TNS1/SENP1/RPS5/FAT1/RAB10/CTTN/RPL6/RPLP0/SLC9A1/ICAM1/ITGA6/SORBS1/TRIOBP/RPL3/MYH9/CD99L2/FLT1/RPS16/RPS19/CAV2/ENG/PDLIM1/RPL19/YWHAE/CBL/CD81/RPS13/PPFIBP1/TNS2/NEDD9/PDGFRB/PRKAR2A/ACTR3/ITGB6/RPS15/RPL22/CNN3/PTK2B/RPL5/SDC4/RPS10/RPL23/VASP/FLRT3/AIF1L/MAP2K2/CDC42EP1/PALLD/STARD8/CNN1/NECTIN2/ACTN4/ARPC1B/CAP1/RPL27/FLNB/LMO7/TLN1/SDCBP/RDX/RPLP1/ADAM10/BCAR3/ARHGAP24/SCARB2/TGFB1I1/CDH13/RPS2/RPS11/RPL13A/EPHA2/HSPG2/RPS8/DCAF6/LIMD1/RPS3A/G3BP1/EGFR/SH3KBP1/MSN/RPL7/GSN/RPL7A/RSU1/PAK1/RPS3/DIXDC1/DAB2/THY1/SORBS2/RPL30/SHROOM4/CSRP1/ZYX/RPL8/ITGA5/ARPC5/ARPC2/NFASC/CLASP2/RPL9/RPS14/DLC1/YWHAZ/TPM4/SRP68/SNTB2/YWHAG/RPS9/RPS7/TLN2/SNTB1/IL16/CORO1B/RPL38/DAG1/JUP/RPL4/RPLP2/FES/CAV3/RPS17/FHL3/ACTG1/P4HB/PIP5K1C/SPRY4/PPIA/EVL/MME/PDLIM7/FLNA/ANXA6/RPL37A/RPL12/MPZL1/RPS4X/RPL10A/TGM2/LAYN/RPS29/RPS18/SCARF2/ACTN3/ITGB3" 163
"GO:0030055" "GO:0030055" "cell-substrate junction" "165/2425" "431/19894" 1.27064839209205e-44 3.01567218389848e-42 2.37187699857183e-42 "LASP1/CD9/CD44/TNC/SYNE2/NCKAP1/RPL18/CNN2/NHERF2/TLE2/PABPC1/RPL31/ACTN1/LIMS2/PVR/FERMT2/CLASP1/MCAM/TNS1/SENP1/RPS5/FAT1/RAB10/CTTN/RPL6/RPLP0/SLC9A1/ICAM1/ITGA6/SORBS1/TRIOBP/RPL3/MYH9/CD99L2/FLT1/RPS16/RPS19/CAV2/ENG/PDLIM1/RPL19/YWHAE/CBL/CD81/RPS13/PPFIBP1/TNS2/NEDD9/PDGFRB/PRKAR2A/ACTR3/ITGB6/RPS15/RPL22/CNN3/PTK2B/RPL5/SDC4/RPS10/RPL23/VASP/FLRT3/AIF1L/MAP2K2/CDC42EP1/PALLD/STARD8/CNN1/NECTIN2/ACTN4/ARPC1B/CAP1/RPL27/FLNB/LMO7/TLN1/SDCBP/RDX/RPLP1/ADAM10/BCAR3/ARHGAP24/SCARB2/TGFB1I1/CDH13/RPS2/RPS11/RPL13A/EPHA2/HSPG2/RPS8/DCAF6/LIMD1/RPS3A/G3BP1/EGFR/SH3KBP1/MSN/RPL7/GSN/RPL7A/RSU1/PAK1/RPS3/DIXDC1/DAB2/THY1/SORBS2/RPL30/SHROOM4/CSRP1/ZYX/RPL8/ITGA5/ARPC5/ARPC2/NFASC/CLASP2/RPL9/RPS14/DLC1/YWHAZ/TPM4/SRP68/SNTB2/YWHAG/RPS9/RPS7/TLN2/SNTB1/IL16/CORO1B/RPL38/DAG1/JUP/RPL4/RPLP2/FES/CAV3/RPS17/FHL3/ACTG1/P4HB/PIP5K1C/SPRY4/PPIA/EVL/MME/PDLIM7/FLNA/ANXA6/RPL37A/RPL12/MPZL1/RPS4X/RPL10A/DMD/TGM2/LAYN/RPS29/RPS18/SCARF2/ACTN3/ITGB3/EPPK1" 165
"GO:0044391" "GO:0044391" "ribosomal subunit" "94/2425" "193/19894" 7.59541780432001e-36 1.35198436916896e-33 1.0633584926048e-33 "RPS20/MRPS24/RPL18/RPL31/RPS5/RPL6/RPLP0/RPL3/RPS16/RPS19/RPL18A/RPL28/RPL19/MRPL27/RPL34/RPS13/MRPL51/MRPL18/RPS12/MRPS27/RPL24/RPS15/RPL22/MRPS15/RPS25/RPL21/RPL5/RPS10/RPL23/MRPS12/RPL36/RPL27/RPS15A/RPL35/RPS6/RPLP1/RPS24/RPL3L/RPS2/RPS11/RPL13A/RPS8/MRPL9/EIF2D/RPS27A/RPL32/RPS3A/RPL37/RPL10/RPL7/RPL7A/RPS3/FAU/RPL30/RPL8/RPL26/RPL29/RPL9/RPS14/RPL36AL/RPL27A/RPL13/RPSA/MRPL1/RPS9/RSL1D1/RPS21/RPS7/RPL38/RPL4/RPL15/RPLP2/RPS27/MRPL41/RPS17/RPL35A/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/RPL39/RACK1/RPS29/MRPL23/UBA52/RPL41/RPS18/RPL36A/MRPL20/RPL17" 94
"GO:0022625" "GO:0022625" "cytosolic large ribosomal subunit" "49/2425" "60/19894" 9.2437880264356e-35 1.31631541496443e-32 1.03530425896079e-32 "RPL18/RPL31/RPL6/RPLP0/RPL3/RPL18A/RPL28/RPL19/RPL34/RPL24/RPL22/RPL21/RPL5/RPL23/RPL36/RPL27/RPL35/RPLP1/RPL3L/RPL13A/RPL32/RPL37/RPL10/RPL7/RPL7A/RPL30/RPL8/RPL26/RPL29/RPL9/RPL36AL/RPL27A/RPL13/RSL1D1/RPL38/RPL4/RPL15/RPLP2/RPL35A/RPL14/RPL37A/RPL12/RPL23A/RPL10A/RPL39/UBA52/RPL41/RPL36A/RPL17" 49
"GO:0005840" "GO:0005840" "ribosome" "102/2425" "251/19894" 1.88520611449551e-30 2.237111255868e-28 1.75952570686247e-28 "RPS20/MRPS24/RPL18/RPL31/RPS5/RPL6/RPLP0/RPL3/GSPT1/RPS16/RPS19/RPL18A/RPL28/RPL19/MRPL27/RPL34/RPS13/MRPL51/MRPL18/RPS12/HBS1L/MRPS27/RPL24/FXR1/RPS15/RPL22/MRPS15/RPS25/RPL21/RPL5/RPS10/RPL23/RRBP1/MRPS12/RPL36/RPL27/RPS15A/RPL35/RPS6/RPLP1/RPS24/RPL3L/RPS2/RPS11/RPL13A/RPS8/MRPL9/EIF2D/RPS27A/RPL32/RPS3A/RPL37/RPL10/RPL7/RPL7A/RPS3/FAU/RPL30/EEF1A1/RPL8/RPL26/RPL29/RPL9/RPS14/RPL36AL/RPL27A/RPL13/EEF2/SRP68/RPSA/MRPL1/RPS9/RSL1D1/RPS21/RPS7/RPL38/RPL4/RPL15/RPLP2/RPS27/MRPL41/RPS17/RPL35A/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/LTN1/RPL39/RACK1/RPS29/MRPL23/UBA52/RPL41/RPS18/RPL36A/MRPL20/RPL17" 102
"GO:0043292" "GO:0043292" "contractile fiber" "100/2425" "250/19894" 3.26960586617638e-29 3.32565625245369e-27 2.6156846929411e-27 "MYOM2/SYNE2/ACTN1/FERMT2/KCNN2/CACNA1S/MYBPC2/MMP2/FKBP1A/MYH7/CAPN3/ASB2/MYLK2/MYL9/TNNC2/STUB1/JPH1/TNNT1/PDLIM1/PPP3CB/ACTA2/MYH1/CRYAB/MYL2/FHL5/FXR1/TNNC1/CASQ2/TRIM32/PDLIM2/KCNJ8/CALD1/OBSL1/SDC4/DEK/MYH2/RTN2/PALLD/ACTN4/TNNT3/TNNI2/PDLIM4/MYH11/CAB39/FLNB/BIN1/TMOD1/MYPN/PPP3CA/TPM1/UNC45B/MYOM3/CASQ1/TPM3/ACTA1/ANK2/PAK1/ALDOA/CACNA1C/HOMER1/SORBS2/TTN/TNNI1/CSRP1/MYL3/SYNC/TMOD4/CMYA5/TPM4/MYL1/SIMC1/CAVIN4/LMOD2/MYOZ2/DAG1/JUP/KY/RPL15/MYOZ1/MYL11/SYNM/CAV3/NEB/FHL3/ACTG1/RYR1/MYL6B/PDLIM7/FLNA/MYH6/TPM2/RYR2/CALM1/DMD/SMTNL1/MYL5/KLHL41/ARHGEF25/TWF2/ACTN3" 100
"GO:0030016" "GO:0030016" "myofibril" "94/2425" "240/19894" 1.03623696383062e-26 9.22250897809251e-25 7.25365874681433e-25 "MYOM2/SYNE2/ACTN1/FERMT2/KCNN2/CACNA1S/MYBPC2/MMP2/FKBP1A/MYH7/CAPN3/ASB2/MYLK2/MYL9/TNNC2/STUB1/JPH1/TNNT1/PDLIM1/PPP3CB/MYH1/CRYAB/MYL2/FHL5/FXR1/TNNC1/CASQ2/TRIM32/PDLIM2/KCNJ8/CALD1/OBSL1/SDC4/MYH2/RTN2/PALLD/ACTN4/TNNT3/TNNI2/PDLIM4/CAB39/FLNB/BIN1/TMOD1/MYPN/PPP3CA/TPM1/UNC45B/MYOM3/CASQ1/TPM3/ACTA1/ANK2/PAK1/ALDOA/CACNA1C/HOMER1/SORBS2/TTN/TNNI1/CSRP1/MYL3/SYNC/TMOD4/CMYA5/TPM4/MYL1/SIMC1/CAVIN4/LMOD2/MYOZ2/DAG1/JUP/KY/RPL15/MYOZ1/SYNM/CAV3/NEB/FHL3/ACTG1/RYR1/PDLIM7/FLNA/MYH6/TPM2/RYR2/CALM1/DMD/SMTNL1/KLHL41/ARHGEF25/TWF2/ACTN3" 94
"GO:0030017" "GO:0030017" "sarcomere" "86/2425" "219/19894" 1.22426455552106e-24 9.68529292812215e-23 7.61764612324214e-23 "MYOM2/SYNE2/ACTN1/FERMT2/KCNN2/CACNA1S/MYBPC2/MMP2/FKBP1A/MYH7/CAPN3/ASB2/MYLK2/MYL9/TNNC2/STUB1/JPH1/TNNT1/PDLIM1/PPP3CB/MYH1/CRYAB/MYL2/FHL5/TNNC1/CASQ2/TRIM32/PDLIM2/OBSL1/MYH2/RTN2/PALLD/ACTN4/TNNT3/TNNI2/PDLIM4/CAB39/FLNB/BIN1/TMOD1/MYPN/PPP3CA/TPM1/UNC45B/MYOM3/CASQ1/TPM3/ACTA1/ANK2/PAK1/ALDOA/CACNA1C/HOMER1/SORBS2/TTN/TNNI1/CSRP1/MYL3/SYNC/TMOD4/CMYA5/TPM4/MYL1/SIMC1/CAVIN4/LMOD2/MYOZ2/JUP/KY/RPL15/MYOZ1/CAV3/NEB/FHL3/RYR1/PDLIM7/FLNA/MYH6/TPM2/RYR2/CALM1/DMD/SMTNL1/KLHL41/ARHGEF25/ACTN3" 86
"GO:0022627" "GO:0022627" "cytosolic small ribosomal subunit" "34/2425" "45/19894" 1.7679698571952e-22 1.25879453832298e-20 9.9006312002931e-21 "RPS20/RPS5/RPS16/RPS19/RPS13/RPS12/RPS15/RPS25/RPS10/RPS15A/RPS6/RPS24/RPS2/RPS11/RPS8/EIF2D/RPS27A/RPS3A/RPS3/FAU/RPS14/RPSA/RPS9/RPS21/RPS7/RPS27/RPS17/RPS23/RPS26/RPS4X/RACK1/RPS29/UBA52/RPS18" 34
