UniqueCount	AmbigCount
0	1
0	0
1	255
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
4	18
0	2
3	0
0	0
0	15
0	0
0	15
0	0
0	8
181	21
0	21
3	86
7	3
0	0
8	14
0	0
0	0
0	0
5	212
0	10
0	19
0	13
0	15
43	20
0	6
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	13
1	3
0	0
4	1
0	63
0	36
2	66
0	32
0	61
2	42
0	6
0	59
0	41
11	14
0	39
9	12
1	1
0	1
0	46
14	2
0	0
0	5
0	0
0	0
8	17
0	1
0	0
0	2
0	0
1	0
1	0
0	2
0	0
1	11
0	0
0	0
0	0
0	3
0	0
0	0
0	0
79	12344
1347	62728
973	91053
6	0
15	1367
0	23
21072	21096
17	2862
0	0
0	0
0	0
165	329
9	4
0	0
0	0
0	20
0	8
0	2
0	2
0	3
0	2
0	1
0	1
0	2
0	2
0	11
0	2
0	2
0	2
0	3
0	0
0	0
2	1
0	3
1	3
0	3
0	0
2	0
0	1
0	2
0	2
0	1
0	1
0	1
0	1
2	23
0	10
1	10
0	0
26	18
0	18
3	0
163	5
0	6
0	316
3	345
266	1078
107	276
3	1284
53	41
0	789
0	1095
83	35
6	385
0	1091
5	400
0	870
24	14
0	293
3	283
0	39
0	320
0	389
0	408
0	351
1	60
24	182
0	252
0	258
1	392
0	679
0	720
0	786
0	308
0	312
0	343
0	361
0	64
4	393
0	776
0	328
2	63
0	21
0	181
0	59
0	252
11	19
0	11
5	11
0	9
0	2
0	9
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
64	508
1	198
15	438
0	0
4	146
10	7
5	2
1	0
0	2
0	0
2	0
0	0
0	0
0	0
0	0
271	4360
0	3913
2	1519
7	2918
2	0
5	13
1	11
1	11
0	8
0	19
0	5
2	17
0	0
0	0
0	109
0	101
0	94
0	102
0	2
0	1
0	2
0	0
0	1
4	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	19
0	19
0	19
3	20
0	18
2	21
0	2
0	9
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	6
0	6
0	0
0	0
1	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	3
0	3
0	2
0	3
3	1
0	3
0	1
0	2
0	1
0	1
0	1
0	3
0	3
0	0
9	591
2	522
0	422
35	260
2	204
0	150
0	57
99	0
0	1
0	1
0	1
0	1
0	1
3	0
0	234
8	264
0	234
6	115
0	103
0	110
4	102
9	19
0	95
0	82
0	16
0	25
0	47
0	29
2	29
0	1
0	4
1	4
4	15
11	0
0	0
4	0
0	8
0	8
7	8
0	8
0	0
0	6
0	0
0	1
49	201
3	194
3	128
0	117
1	0
2	13
0	21
0	4
8	25
0	17
7	15
0	5
0	0
0	0
4	13
0	3
0	0
0	4
0	1
1	8
0	10
0	183
0	385
0	379
0	246
0	75
0	300
0	391
0	245
45	194
2	110
1	212
0	376
0	237
0	196
0	256
0	323
0	65
2	23
1	15
0	254
0	31
0	53
0	46
2	32
0	39
0	113
0	1
2	25
0	159
0	89
0	74
0	132
0	107
2	110
0	4
2	2
0	42
0	133
0	87
9	63
0	52
0	59
0	29
0	23
0	16
0	32
0	0
0	9
1	10
0	0
7	0
4	84
369	113
3	32
9	0
32	1656
35	1575
0	181
0	321
3	110
4	84
9	106
0	0
0	126
1	159
1	178
0	117
0	167
0	26
0	22
2	44
1	0
0	0
12	856
16	830
75	798
27	820
0	19
1	21
0	0
0	302
6	375
0	299
7	206
5	671
0	388
0	442
0	544
0	127
0	201
0	40
0	47
0	38
1	69
0	148
14	14
0	27
12	3
5	16
1	59
1	60
0	59
0	61
0	58
0	60
0	55
0	55
0	55
0	2
0	55
0	55
0	57
0	28
101	619
1	428
14	469
6	27
24	189
0	23
0	2
9	1
0	13
0	13
0	13
0	5
0	4
0	0
1	0
0	0
1	0
0	0
0	0
0	6
0	47
10	53
0	1
1	8
0	0
0	2
4	93
0	51
13	78
1	8
27	47
16	30
5	4
6	5
0	1
0	226
1	142
0	214
0	194
0	217
0	2
0	21
0	47
0	0
1	0
198	662
14	545
0	121
261	27
0	2
2	2
0	0
4	0
0	0
293	1
23	840
3	855
0	913
0	895
0	730
0	804
0	815
53	71
0	50
8	865
2	65
0	709
3	80
0	14
1	76
0	888
0	482
1	39
0	745
0	534
5	16
1	14
0	679
4	104
6	12
0	20
5	96
0	129
0	175
1	75
0	106
0	122
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	619
1	532
0	549
0	489
0	464
0	429
0	429
0	428
0	145
0	0
2	66
4	577
0	560
28	200
19	64
0	0
0	0
0	0
38	356
0	283
0	79
0	216
0	265
0	172
0	270
0	295
0	243
0	240
1	3
0	16
0	4
0	0
0	14
0	1
0	3
0	29
0	14
2	33
3	6
0	6
0	7
51	234
0	0
0	0
0	0
15	60
7	9
3	55
0	40
0	0
3	179
0	171
3	160
0	69
0	2
0	38
0	12
0	5
3	34
0	14
0	5
0	31
10	24
0	15
5	14
5	8
0	0
0	646
1	741
9	787
0	672
0	701
0	730
0	675
0	579
0	730
0	701
0	388
0	711
0	727
3	702
0	704
2	688
0	678
0	578
2	624
0	542
1	610
1	598
0	373
0	340
25	80
9	213
0	140
0	64
0	13
5	42
4	0
0	7
2	5
0	0
4	7
0	2
4	61
13	61
12	47
0	18
24	799
11	787
0	53
29	119
21	39
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	2
0	3
0	2
0	1
0	2
0	1
0	0
0	2
0	3
0	2
0	0
0	3
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	4
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	1
0	0
0	5
1	1
0	1
0	4
0	0
0	0
4	0
0	0
0	23
0	23
1	37
0	41
0	13
32	12
0	7
0	19
0	16
4	16
1	15
0	2
0	14
0	0
0	0
0	0
0	15
601	22
1	0
0	6
1	5
0	0
0	0
0	25
0	24
1	22
0	4
18	4
0	3
7	6
0	8
9	0
0	0
0	0
1	0
15	1
0	1
5	0
4	525
0	62
4	689
0	184
9	13
3	388
0	164
46	291
2	83
1	217
0	222
0	156
0	134
0	9
0	5
0	0
0	0
0	1
0	0
0	3
0	3
0	3
0	3
0	3
0	1
0	1
0	0
0	0
9	424
0	330
0	190
0	34
6	13
5	2
1	6
0	16
0	139
2	35
2	0
0	8
1	0
0	0
0	0
0	8
0	3
2	1
3	6
0	3
0	0
0	2
0	2
0	2
0	2
0	5
2	30
0	30
1	6
0	7
8	4
16	49
0	53
0	8
0	12
0	0
1	6
0	0
0	0
4	0
0	5
0	1
0	18
0	14
0	18
0	14
0	4
0	12
0	7
0	0
0	0
0	5
1	14
0	0
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	2
0	1
0	0
0	0
2	2
0	0
0	18
0	2
0	19
5	20
0	15
0	16
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	14
0	14
0	13
2	5
0	0
0	0
0	4
0	0
0	72
0	74
0	32
1	1
0	27
0	1
0	2
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
130	641
0	641
3	56
5	56
31	4
0	37
0	15
0	14
0	5
0	23
0	25
0	4
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	43
0	3
0	134
0	88
0	145
8	303
0	62
1	0
0	165
0	1
0	160
4	185
0	236
0	220
0	99
0	127
0	136
4	122
0	161
0	192
0	86
0	19
0	7
1	124
0	85
7	22
0	92
0	14
0	0
0	28
2	1
0	1
0	1
0	0
0	0
0	0
0	0
996	179
3	174
0	39
0	0
0	0
9	374
3	423
0	443
2	435
0	391
2	426
4	423
2	397
0	390
0	420
0	396
0	425
0	425
0	365
0	375
0	374
0	0
0	277
0	119
1	272
4	14
0	36
1	167
0	88
4	54
13	40
0	0
0	28
1	27
0	25
0	28
0	28
0	28
0	28
0	28
0	1
0	11
14	131
10	133
0	133
0	126
0	125
0	126
0	121
0	121
0	126
1	48
0	10
0	0
0	1
0	1
9	3
0	3
2	0
0	4
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
33	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	8
3	9
0	16
0	35
1	33
0	25
0	0
0	1
11	2
0	28
1	0
0	16
0	17
0	84
0	79
0	81
0	0
0	8
0	1
0	3
0	0
0	15
0	4
0	10
0	71
0	13
0	1
0	27
0	79
0	0
0	76
0	1
0	80
0	14
0	10
0	30
0	70
0	82
0	1
2	0
5	60
0	0
0	2
0	75
0	81
0	27
0	29
0	8
0	0
1	69
0	5
0	26
0	50
0	1
0	0
0	3
0	58
0	42
0	59
0	4
0	1
0	4
0	1
0	4
0	0
0	372
1712	2055
34	2006
0	1910
0	999
0	801
0	375
2	375
0	0
3	0
5	21
0	0
2	1
0	20
0	0
0	0
0	2
0	1
491	852
0	30
14	823
0	323
0	0
0	0
0	0
0	0
20	1
0	16
1	16
0	12
0	12
0	12
0	11
0	11
0	8
0	1
2	0
0	0
0	0
0	0
3	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
0	25
0	16
10	28
0	25
0	26
0	26
0	21
0	3
0	3
0	15
0	3
0	3
0	15
0	4
0	0
0	9
0	12
0	12
0	13
0	0
0	25
0	54
2	59
5	59
0	59
0	56
0	59
0	58
0	59
0	59
0	60
0	60
0	60
1	60
0	59
0	48
0	56
0	6
0	1
0	9
0	0
0	7
0	0
0	5
0	5
0	1
0	1
0	1
0	0
580	87
1	68
1	26
3	23
1	17
0	0
0	0
0	2
0	2
0	2
0	0
1	49
0	31
3	27
0	8
10	19
7	10
0	10
0	7
6	1963
133	1875
0	358
0	296
1	142
103	6
0	5
11	34
3	0
0	27
2	11
0	17
3	16
4	17
0	4
8	230
0	830
0	745
3	486
0	559
1	682
0	664
0	663
1	698
15	355
0	505
0	619
6	746
0	396
0	550
0	157
0	162
48	160
0	88
0	157
0	31
0	117
0	107
24	107
0	67
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	148
36	153
12	78
1	145
34	225
7	74
0	48
0	78
12	108
0	68
0	124
0	139
0	97
0	78
0	54
0	26
0	34
0	27
0	43
15	4
0	38
0	31
0	36
0	44
0	46
0	22
0	28
0	35
0	31
0	37
0	27
0	38
0	38
0	27
0	20
0	11
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
868	131
20	127
6	25
4	0
0	919
2	195
0	916
7	898
5	856
1	15
38	12
4	13
0	31
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	1463
22	206
26	2460
4	1488
256	2374
12	433
0	2381
0	1728
0	362
0	997
0	0
17	0
8	0
0	0
0	1
123	50
11	46
2	22
2	16
13	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	20
0	20
0	18
0	6
0	0
14	4312
17	4319
0	4102
26	3965
1	65
0	1147
26	2352
0	74
0	996
10	88
10	248
14	20
0	15
7	72
20	288
0	86
30	279
0	7
2	38
2	10
0	69
0	17
0	0
1	0
0	0
0	0
0	0
0	0
21	0
0	0
0	0
4	0
0	0
1	690
4	596
64	648
2	650
1	440
0	110
0	100
0	79
0	89
0	49
1	24
0	21
0	19
0	56
10	66
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1027	277
1	10
43	252
0	252
0	252
0	249
0	252
0	217
0	180
17	67
0	0
1375	31
3	0
1	26
8	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
977	1666
13	1562
1	852
48	42
0	20
0	42
0	27
5	0
14	4
0	4
0	3
0	0
0	0
12	0
96	36
6	0
18	154
383	121
0	127
1	0
0	6
0	1
0	0
0	52
0	58
0	1
0	58
0	55
0	8
0	58
0	0
0	58
0	58
0	55
0	24
0	33
0	4
0	3
0	4
0	8
0	0
0	0
0	0
0	37
0	0
0	0
0	0
20	659
0	614
0	235
0	539
0	662
0	25
0	0
0	0
0	0
237	126
4	125
1	65
0	30
0	0
0	0
5	37
134	122
0	113
5	95
0	6
14	0
5	153
2	397
229	423
11	24
0	13
7	0
1	0
0	0
0	18
5	26
6	26
0	1104
97	1510
0	1508
5	115
0	6
0	113
31	91
0	27
2	111
0	8
0	0
1	0
0	0
0	18365
1	17682
0	8580
17	1177
0	7681
0	7615
6	6872
0	6886
3	8310
4	14843
0	63
22	896
0	7645
262	7219
62	6996
127	1
0	46
26	177
0	115
4	114
0	519
4	20
0	0
0	9
0	178
0	0
0	0
0	0
0	0
1	3
0	3
0	3
0	66
1	1
61	149
1	13
0	48
0	32
0	50
0	14
0	39
0	6
0	0
0	3
0	0
0	3
0	10
0	0
1	11
0	2
12	10
3	4
1	8
0	1
345	61
0	35
20	61
0	0
6	0
167	37
0	33
0	0
0	0
0	0
499	907
0	33
40	33
14	837
4	11
6	544
26	161
0	41
5	0
5	0
0	0
28	115
0	148
3	3
0	163
5	138
0	0
0	356
0	1138
0	481
0	550
0	524
0	227
0	275
2	314
30	1544
3	597
0	357
0	801
0	597
0	418
0	483
0	553
0	240
0	363
21	59
0	153
0	111
0	111
0	66
0	21
0	38
0	5
0	33
0	106
0	228
0	98
0	17
1	13
0	22
0	65
2	30
0	47
24	67
0	67
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	96
176	218
0	13
1	30
0	116
0	29
0	1
7	1
0	0
1	0
0	1
1	0
0	1
0	0
0	0
0	337
15	356
34	96
0	6
19	13
0	26
0	3
0	13
4	1
3	8
0	34
7	720
0	1781
2	1856
0	1881
3	1847
2	1763
0	1727
0	1799
0	692
2	114
2	103
4	61
26	61
2	10
4	556
0	1
0	0
0	0
0	0
1	1
0	0
0	0
0	0
233	38
3	37
4	6
30	2
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	4
0	4
0	0
0	0
0	0
0	0
0	40
0	4
0	56
0	57
0	15
0	8
0	40
0	2
0	5
0	33
6	98
0	129
1	129
0	75
0	63
0	78
0	51
0	69
0	46
0	32
0	5
44	52
0	17
0	39
2	0
0	35
0	15
0	12
9	3
4	63
0	29
0	54
0	35
0	21
0	32
0	21
0	28
0	7
0	2
0	14
0	14
0	0
0	14
0	4
0	3
2	0
3	12
0	0
6	578
0	492
0	493
0	556
0	177
0	160
0	180
0	169
0	137
0	146
1	77
0	43
0	38
1	70
0	50
19	17
0	37
0	8
8	0
3	253
0	294
13	38
1	151
0	119
1	49
2	46
0	52
4	1
0	5
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	8
0	8
0	8
4	8
0	8
0	8
0	8
0	0
285	270
7	268
0	107
1	39
165	326
0	65
0	79
3	23
0	50
0	8
13	167
0	0
3	5341
0	5328
0	5285
28	1659
3	5309
3	2923
23	524
0	367
0	292
0	5254
0	5324
0	5021
25	1135
1	4819
1	4896
0	5250
1	60
1	5523
0	24
0	224
0	5112
3	5370
0	5620
0	5409
0	5414
1	5427
2	200
7	4993
0	254
3	4330
37	4042
3	2748
1	2460
0	0
0	16
24	50
0	22
0	30
1	3
1	22
0	16
0	0
0	0
0	0
0	4
0	4
0	2
2	4
0	4
0	0
0	0
0	0
0	0
0	218
0	20
1	204
1	1
0	0
0	0
0	0
11	5732
0	5789
2	12
11	22
0	4022
7	1697
34	1535
62	585
4	100
0	54
1	1449
0	1395
0	506
0	0
0	36
1	33
1	707
1	17
3	31
0	8
0	26
1	0
0	0
0	0
0	245
13	245
2	245
132	291
0	293
5	293
0	291
3	8
0	39
25	8
6	3
0	3
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
11	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
181	0
5	0
0	0
8	217
2	213
0	10
0	209
1	62
0	35
1	111
0	99
0	35
0	69
2	34
0	0
0	0
0	0
0	1656
0	6
0	136
4	1656
0	81
0	6
0	6
33	1646
6	1654
12	3
1	32
0	90
0	14
9	9
14	0
0	1
1	15
0	14
7	6
0	3
0	20
0	2
0	21
0	3
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	0
6	0
0	6
0	6
0	0
0	6
0	6
0	5
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	1
0	0
0	2
0	2
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
53	15
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	126
0	134
0	84
9	96
0	18
0	54
0	28
0	39
0	20
0	16
0	8
2	230
1	622
0	635
1	260
0	664
3	79
0	9
0	4
0	22
0	52
0	0
2	0
437	3
6	0
0	1
0	0
0	0
59	3728
0	3731
0	3731
17	128
9	22
0	628
1	19
13	0
13	978
1	0
14	1918
3	1811
0	143
1	1774
4	308
0	0
0	0
0	0
331	30
1	26
2	3
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	45
0	0
0	0
0	1
0	1
0	45
0	5
0	8
0	11
0	0
1	2
0	4
21	211
0	67
0	0
123	0
3	517
3	2252
71	2339
1	176
1	168
7	1051
2	33
0	0
0	27
0	31
0	187
0	134
0	170
0	31
0	0
0	7
1	5
5	4
0	1
0	19
0	11
0	1
0	53
0	23
0	0
0	0
0	0
0	0
2	0
0	0
10	16700
213	16864
4	16739
77	18174
0	1513
142	3271
24	1703
2	7
0	1
1	6
1	0
0	3
0	6
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
76	42
0	7
0	12
0	23
4	0
0	0
0	0
0	7
3	7
0	3
0	0
3	0
0	0
0	0
0	0
0	0
10	0
10	0
0	0
0	0
551	117
0	71
0	71
75	40
0	3
20	238
70	1409
0	55
20	1408
1	8
0	63
0	238
6	1392
5	92
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	21
2	74
1	0
0	67
0	5
0	3
0	45
0	16
20	67
0	6
0	0
1	0
70	9
5	6
1	0
0	8
5	0
11	0
12	0
1	9
33	7737
6	1
0	5
0	4
1	2
0	0
1	38
88	253
0	228
8	1
5	45
27	22
19	23
0	0
0	80
11	80
2	80
0	96
0	92
9	113
2	69
1	153
41	6
10	47
19	18
0	25
1	10
10	32
2	6
0	0
0	3
0	7
0	0
0	6
0	2
0	27
0	27
1	0
0	6
0	27
0	2
0	2
0	6
0	0
0	16
0	2
0	6
4	0
0	0
0	38
0	5
2	3
0	0
0	13
0	78
0	6
0	0
0	0
0	0
0	0
2	11
26	40
0	34
0	26
0	3
0	0
8	5
0	3
0	0
2	3
0	7
0	2
0	2
0	0
0	0
0	3
0	3
0	3
1	0
0	0
0	3
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	3
0	3
0	3
0	0
0	0
0	0
2	17
2	18
8	18
1	14
0	13
0	12
0	16
0	16
0	17
0	16
0	0
10	0
1	0
0	13
0	13
0	9
0	0
0	0
0	0
0	0
0	0
0	85
0	105
0	106
4	47
0	32
1	6
2	11
