ID pvalue
GO:0002181 2.2941628247312e-50
GO:0003012 6.52252589844637e-35
GO:0006936 3.85750614129213e-29
GO:0042692 1.63687847419785e-27
GO:0007517 9.26721724708075e-22
GO:0055001 8.21896298041613e-20
GO:0051146 1.40103042060693e-19
GO:0060537 7.13836471706868e-19
GO:0006941 8.96261911190045e-18
GO:0007015 3.73811089030897e-16
GO:0090257 2.02737455225637e-15
GO:0031032 2.18064810558243e-15
GO:0060538 4.59056693883319e-14
GO:0032970 2.82790265628317e-13
GO:0030048 5.62409700648725e-13
GO:0007519 1.35712848796975e-12
GO:0006937 8.26281214191065e-12
GO:0060485 2.21541148375974e-11
GO:0061572 2.92261918022199e-11
GO:0003007 2.97170961602963e-11
GO:0051017 3.8090358934253e-11
GO:0043500 3.83589728812519e-11
GO:0043501 4.585949781973e-11
GO:1902903 8.01843578999564e-11
GO:0070252 1.0769267904977e-10
GO:0031589 1.25763683196687e-10
GO:0003009 1.3616769527203e-10
GO:0060048 2.33234318022738e-10
GO:0060047 3.6120340324251e-10
GO:0110053 4.4350988313617e-10
GO:0003158 5.00726465422691e-10
GO:0014706 8.0197896860036e-10
GO:0003015 9.10566059974604e-10
GO:0002064 1.13557760721211e-09
GO:1904062 1.30297787197857e-09
GO:0003205 1.36010105522461e-09
GO:0034762 1.41621652831561e-09
GO:0003229 1.81399857500553e-09
GO:0050881 1.81399857500553e-09
GO:0045446 1.82118152210376e-09
GO:0034765 2.29026883239787e-09
GO:0030239 2.58624752475993e-09
GO:0032956 2.66519232900595e-09
GO:0014888 2.89633566675033e-09
GO:0043269 3.04123493083547e-09
GO:0050879 4.18235374345008e-09
GO:0003206 5.06174606547483e-09
GO:0055002 5.1583912500388e-09
GO:0008016 5.7658076967641e-09
GO:0048738 5.80470472542275e-09
GO:0010586 6.43207828723382e-09
GO:0010959 6.50362473402526e-09
GO:0010810 7.79427383738622e-09
GO:1903522 8.43384011789416e-09
GO:0061614 8.6015915402082e-09
GO:0008360 9.67463794621162e-09
GO:0001885 1.34857049976692e-08
GO:0030038 1.43142249571028e-08
GO:0043149 1.43142249571028e-08
GO:0003231 1.74876719275833e-08
GO:0051147 2.1169007841538e-08
GO:0055008 2.2210567613164e-08
GO:0150115 2.37067393319404e-08
GO:0051258 2.46175136907743e-08
GO:0048762 2.46276773866066e-08
GO:1902893 2.79926456731411e-08
GO:0061028 2.81577836626721e-08
GO:0010927 3.32707401389752e-08
GO:0022612 3.67943504393436e-08
GO:0007264 3.9896760138913e-08
GO:0048644 4.30541830962699e-08
GO:0007044 5.0949815298607e-08
GO:0045214 6.56192737090102e-08
GO:0032231 6.68137064312753e-08
GO:0001503 6.68664032251646e-08
GO:0014902 6.85876191596535e-08
GO:0034329 7.04260488375886e-08
GO:0051145 7.22983378120387e-08
GO:0006942 8.68573341157087e-08
GO:0060415 8.90476919330348e-08
GO:0048041 1.38959824302694e-07
GO:1902905 1.41222667167432e-07
GO:0110020 1.4307759159102e-07
GO:2000628 1.43577454777549e-07
GO:0048568 1.72393990041894e-07
GO:0022898 1.89764624022916e-07
GO:0140747 2.43260673419757e-07
GO:1990778 2.92384725945222e-07
GO:0042274 3.04447211029746e-07
GO:1903169 3.0496754003563e-07
GO:0086003 3.08491947769429e-07
GO:0032412 3.41525512928371e-07
GO:0032271 3.82897238926808e-07
GO:0055010 3.9086346500991e-07
GO:0022604 3.92998583855909e-07
GO:0001945 3.96084690000903e-07
GO:0043502 4.07172594968279e-07
GO:0001837 4.15836341345851e-07
GO:0070296 4.23225588302983e-07
GO:1902895 4.35499322910968e-07
GO:0035051 4.89397320935352e-07
GO:1901019 4.97692900935055e-07
GO:0072001 5.16826355589475e-07
